latitude,longitude,sample_date,satellite_date,precip_3d_mm,wind_speed_ms,solar_rad_wm2
37.74668281831205,-97.77935964130651,2021-10-04,2021-08-20,16.92,4.21,6.6072
38.97249861610644,-94.67292689242346,2021-10-04,2021-08-19,1.4300000000000002,2.18,5.7881
39.11775383292243,-94.63771783050544,2021-10-04,2021-08-19,1.4300000000000002,2.18,6.0065
39.40017991634454,-99.45699385334132,2021-09-27,2021-08-18,3.6999999999999997,4.42,6.4512
36.06000109023984,-75.99999978011454,2021-09-30,2021-08-18,18.63,2.0,5.1322
37.61430102623736,-97.62981031017608,2021-09-27,2021-08-17,8.030000000000001,2.79,6.0658
38.97249861610644,-94.67292689242346,2021-10-04,2021-08-17,1.29,1.65,5.7403
42.21710998843368,-109.37104253939808,2021-09-27,2021-08-17,0.33999999999999997,2.96,3.9614
41.34556976933559,-109.45561384997774,2021-09-28,2021-08-17,0.25,3.28,4.6495
41.245610101020496,-109.59261972984488,2021-09-28,2021-08-17,0.16,3.7,4.6495
42.25061121464824,-109.43045114273316,2021-09-27,2021-08-17,0.74,2.34,3.9614
39.11775383292243,-94.63771783050544,2021-10-04,2021-08-17,1.29,1.65,6.4997
41.34556976933559,-109.45561384997774,2021-09-28,2021-08-15,0.03,2.24,6.2854
41.245610101020496,-109.59261972984488,2021-09-28,2021-08-15,0.01,2.41,6.2854
36.06000109023984,-75.99999978011454,2021-09-30,2021-08-15,9.01,0.69,4.6778
42.25061121464824,-109.43045114273316,2021-09-27,2021-08-15,0.63,0.86,4.879
42.21710998843368,-109.37104253939808,2021-09-27,2021-08-15,0.21,1.27,4.879
39.40017991634454,-99.45699385334132,2021-09-27,2021-08-15,14.53,3.69,5.9827
41.049097517595136,-121.76200146491558,2021-09-22,2021-08-15,0.0,0.24,4.7026
35.42649660357678,-118.83200196741424,2021-09-21,2021-08-14,0.0,1.87,6.3197
37.25829977543341,-120.47499788246584,2021-09-22,2021-08-14,0.02,2.77,6.6962
37.36089923157214,-120.54900558264984,2021-09-22,2021-08-14,0.02,2.77,6.6962
37.140191565830776,-95.29028497417195,2021-09-27,2021-08-14,11.52,2.21,6.3946
41.154916444694464,-104.8285518371517,2021-09-23,2021-08-14,0.32,1.1,6.8594
37.14307214511132,-95.28904088497806,2021-09-27,2021-08-14,11.52,2.21,6.3946
39.20983872877715,-96.96101203867498,2021-09-20,2021-08-12,19.44,2.56,4.8905
37.6666999227164,-120.89800158569886,2021-09-21,2021-08-12,0.0,3.41,6.6694
37.42199783420646,-95.19710313945812,2021-09-20,2021-08-12,8.16,3.31,7.2041
37.25829977543341,-120.47499788246584,2021-09-22,2021-08-12,0.0,3.41,6.6694
37.36089923157214,-120.54900558264984,2021-09-22,2021-08-12,0.0,3.41,6.6694
37.39059684458809,-120.95799879037298,2021-09-21,2021-08-12,0.0,3.8,6.6694
37.140191565830776,-95.29028497417195,2021-09-27,2021-08-12,3.4699999999999998,3.49,7.2041
37.14307214511132,-95.28904088497806,2021-09-27,2021-08-12,3.4699999999999998,3.49,7.2041
41.049097517595136,-121.76200146491558,2021-09-22,2021-08-12,0.0,0.28,5.4238
37.61430102623736,-97.62981031017608,2021-09-27,2021-08-12,1.77,4.03,6.9828
36.03000025835226,-78.70344573039351,2021-09-21,2021-08-11,2.42,0.19,6.8714
35.42649660357678,-118.83200196741424,2021-09-21,2021-08-11,0.0,1.96,5.249
41.154916444694464,-104.8285518371517,2021-09-23,2021-08-11,0.02,2.72,7.3116
36.03000025835226,-78.70245135085858,2021-09-21,2021-08-11,2.42,0.19,6.8714
36.03000025835226,-78.70295077017656,2021-09-21,2021-08-11,2.42,0.19,6.8714
41.049097517595136,-121.76200146491558,2021-09-22,2021-08-10,0.0,0.48,6.0919
39.20983872877715,-96.96101203867498,2021-09-20,2021-08-10,22.23,4.2,5.0129
39.27623474346296,-94.89210954560454,2021-09-20,2021-08-09,7.0600000000000005,3.07,6.643
37.36089923157214,-120.54900558264984,2021-09-22,2021-08-09,0.0,1.96,7.7474
37.25829977543341,-120.47499788246584,2021-09-22,2021-08-09,0.0,1.96,7.7474
37.6666999227164,-120.89800158569886,2021-09-21,2021-08-09,0.0,1.96,7.7474
42.5328589340282,-106.75875845105575,2021-09-22,2021-08-09,0.63,3.14,6.6307
42.4675732355047,-106.87274199218396,2021-09-22,2021-08-09,0.63,3.14,6.6307
42.54967866320179,-106.7428662149013,2021-09-22,2021-08-09,0.63,3.14,6.6307
38.96950210019853,-94.75820274096957,2021-09-20,2021-08-09,5.36,3.46,6.3996
42.07540867515729,-106.87729027525846,2021-09-23,2021-08-09,0.52,3.65,6.6307
42.4998705044348,-106.90640820513748,2021-09-22,2021-08-09,0.63,3.14,6.6307
41.474683040338114,-106.7842645090815,2021-09-23,2021-08-09,1.04,2.46,6.1963
37.39059684458809,-120.95799879037298,2021-09-21,2021-08-09,0.0,2.53,7.7474
37.42199783420646,-95.19710313945812,2021-09-20,2021-08-09,7.319999999999999,4.07,6.1687
35.42649660357678,-118.83200196741424,2021-09-21,2021-08-09,0.0,1.82,8.0626
36.03000025835226,-78.70295077017656,2021-09-21,2021-08-08,27.880000000000003,0.24,6.6926
36.03000025835226,-78.70344573039351,2021-09-21,2021-08-08,27.880000000000003,0.24,6.6926
36.03000025835226,-78.70245135085858,2021-09-21,2021-08-08,27.880000000000003,0.24,6.6926
37.263900406356534,-120.90599675388768,2021-09-16,2021-08-07,0.0,1.72,6.4123
39.27623474346296,-94.89210954560454,2021-09-20,2021-08-07,3.3600000000000003,4.54,5.3587
38.96950210019853,-94.75820274096957,2021-09-20,2021-08-07,2.66,4.49,6.4277
42.54967866320179,-106.7428662149013,2021-09-22,2021-08-07,0.7000000000000001,2.53,5.5114
42.4998705044348,-106.90640820513748,2021-09-22,2021-08-07,0.7000000000000001,2.53,5.5114
